instance,seed,algorithm,objective,coverage_pct,runtime_sec,num_facilities,budget_used,num_moves,num_iterations,facilities
test_tiny,42,greedy,142.0,93.42105263157895,7.939338684082031e-05,2,4.0,0,0,"2,3"
test_tiny,42,closest_neighbor,142.0,93.42105263157895,4.6253204345703125e-05,2,4.0,0,0,"2,3"
test_tiny,43,greedy,142.0,93.42105263157895,7.462501525878906e-05,2,4.0,0,0,"2,3"
test_tiny,43,closest_neighbor,142.0,93.42105263157895,8.58306884765625e-05,2,4.0,0,0,"2,3"
test_tiny,44,greedy,142.0,93.42105263157895,6.031990051269531e-05,2,4.0,0,0,"2,3"
test_tiny,44,closest_neighbor,142.0,93.42105263157895,7.939338684082031e-05,2,4.0,0,0,"2,3"
test_tiny,45,greedy,142.0,93.42105263157895,9.942054748535156e-05,2,4.0,0,0,"2,3"
test_tiny,45,closest_neighbor,142.0,93.42105263157895,8.392333984375e-05,2,4.0,0,0,"2,3"
test_tiny,46,greedy,142.0,93.42105263157895,4.673004150390625e-05,2,4.0,0,0,"2,3"
test_tiny,46,closest_neighbor,142.0,93.42105263157895,3.6716461181640625e-05,2,4.0,0,0,"2,3"
test_tiny,47,greedy,142.0,93.42105263157895,9.846687316894531e-05,2,4.0,0,0,"2,3"
test_tiny,47,closest_neighbor,142.0,93.42105263157895,3.7670135498046875e-05,2,4.0,0,0,"2,3"
test_tiny,48,greedy,142.0,93.42105263157895,4.029273986816406e-05,2,4.0,0,0,"2,3"
test_tiny,48,closest_neighbor,142.0,93.42105263157895,4.57763671875e-05,2,4.0,0,0,"2,3"
test_tiny,49,greedy,142.0,93.42105263157895,6.818771362304688e-05,2,4.0,0,0,"2,3"
test_tiny,49,closest_neighbor,142.0,93.42105263157895,4.482269287109375e-05,2,4.0,0,0,"2,3"
test_tiny,50,greedy,142.0,93.42105263157895,5.6743621826171875e-05,2,4.0,0,0,"2,3"
test_tiny,50,closest_neighbor,142.0,93.42105263157895,5.650520324707031e-05,2,4.0,0,0,"2,3"
test_tiny,51,greedy,142.0,93.42105263157895,7.390975952148438e-05,2,4.0,0,0,"2,3"
test_tiny,51,closest_neighbor,142.0,93.42105263157895,6.651878356933594e-05,2,4.0,0,0,"2,3"
random_I50_J200_B10.0_R7.0_s44,42,greedy,7646.0,78.42855677505385,0.0007557868957519531,6,9.309999999999999,0,0,"13,28,34,38,39,41"
random_I50_J200_B10.0_R7.0_s44,42,closest_neighbor,6183.0,63.42188942455637,0.00019168853759765625,5,9.67,0,0,"13,28,34,39,44"
random_I50_J200_B10.0_R7.0_s44,43,greedy,7646.0,78.42855677505385,0.0005433559417724609,6,9.309999999999999,0,0,"13,28,34,38,39,41"
random_I50_J200_B10.0_R7.0_s44,43,closest_neighbor,6183.0,63.42188942455637,0.00020766258239746094,5,9.67,0,0,"13,28,34,39,44"
random_I50_J200_B10.0_R7.0_s44,44,greedy,7646.0,78.42855677505385,0.0006000995635986328,6,9.309999999999999,0,0,"13,28,34,38,39,41"
